"","test","replications","elapsed","relative","user.self","sys.self","user.child","sys.child","round"
"122","R6-Rcpp-TopXSort",1000,0.0300000000133878,3,0.0300000000000011,0,NA,NA,31
"123","S3-Rcpp-TopXSort",1000,0.0100000000093132,1,0.0200000000000102,0,NA,NA,31
"124","S4-Rcpp-TopXSort",1000,0.0300000000133878,3,0.0300000000000011,0,NA,NA,31
"125","List-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0199999999999818,0,NA,NA,32
"126","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,32
"127","S3-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0199999999999818,0,NA,NA,32
"128","S4-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0199999999999818,0,NA,NA,32
"129","List-Rcpp-TopXSort",1000,0.0300000000133878,1.5,0.0300000000000011,0,NA,NA,33
"130","R6-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,33
"131","S3-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0100000000000193,0,NA,NA,33
"132","S4-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0100000000000193,0,NA,NA,33
"133","List-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.039999999999992,0,NA,NA,34
"134","R6-Rcpp-TopXSort",1000,0.0500000000029104,2.5,0.0499999999999829,0,NA,NA,34
"135","S3-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.039999999999992,0,NA,NA,34
"136","S4-Rcpp-TopXSort",1000,0.0199999999895226,1,0.0200000000000102,0,NA,NA,34
"137","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,35
"138","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,35
"139","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,35
"140","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,35
"141","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,36
"142","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,36
"143","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,36
"144","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,36
"145","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,37
"146","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,37
"147","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,37
"148","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,37
"149","List-Rcpp-TopXSort",1000,0.0300000000133878,1.5,0.0300000000000011,0,NA,NA,38
"150","R6-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,38
"151","S3-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,38
"152","S4-Rcpp-TopXSort",1000,0.0199999999895226,1,0.0100000000000193,0,NA,NA,38
"153","List-Rcpp-TopXSort",1000,0.0399999999935972,2,0.0500000000000114,0,NA,NA,39
"154","R6-Rcpp-TopXSort",1000,0.0300000000133878,1.5,0.0300000000000011,0,NA,NA,39
"155","S3-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,39
"156","S4-Rcpp-TopXSort",1000,0.0200000000040745,1,0.00999999999999091,0,NA,NA,39
"157","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,40
"158","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,40
"159","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,40
"160","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,40
"161","List-Rcpp-TopXSort",1000,0.0500000000029104,2.5,0.0499999999999829,0,NA,NA,41
"162","R6-Rcpp-TopXSort",1000,0.0399999999935972,2,0.0300000000000011,0,NA,NA,41
"163","S3-Rcpp-TopXSort",1000,0.0199999999895226,1,0.0200000000000102,0,NA,NA,41
"164","S4-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.039999999999992,0,NA,NA,41
"165","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,42
"166","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,42
"167","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,42
"168","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,42
"169","List-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0200000000000102,0,NA,NA,43
"170","R6-Rcpp-TopXSort",1000,0.0399999999935972,2,0.0300000000000011,0,NA,NA,43
"171","S3-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0200000000000102,0,NA,NA,43
"172","S4-Rcpp-TopXSort",1000,0.0399999999935972,2,0.0300000000000011,0,NA,NA,43
"173","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,44
"174","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,44
"175","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,44
"176","S4-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0199999999999818,0,NA,NA,44
"177","List-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,45
"178","R6-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,45
